ORIGIN,DESTINATION,Roundtrip,Status,,,,Note:
ANU,YYZ,No,Active,,,,Roundtrip: Yes /No
ATL,YEG,No,Active,,,,Status: Active / Inactive
ATL,YVR,No,Active,,,,
ATL,YWG,No,Active,,,,
ATL,YYC,No,Active,,,,
AUA,YYZ,No,Active,,,,
AUS,YYC,No,Active,,,,
BCN,YYC,No,Active,,,,
BGI,YYZ,No,Active,,,,
BNA,YEG,No,Active,,,,
BNA,YVR,No,Active,,,,
BNA,YYC,No,Active,,,,
BNA,YYZ,No,Active,,,,
BON,YYZ,No,Active,,,,
BOS,YYC,No,Active,,,,
BZE,YYC,No,Active,,,,
BZE,YYZ,No,Active,,,,
CDG,YYC,No,Active,,,,
CUN,YEG,No,Active,,,,
CUN,YHM,No,Active,,,,
CUN,YHZ,No,Active,,,,
CUN,YLW,No,Active,,,,
CUN,YOW,No,Active,,,,
CUN,YQR,No,Active,,,,
CUN,YVR,No,Active,,,,
CUN,YWG,No,Active,,,,
CUN,YXE,No,Active,,,,
CUN,YYC,No,Active,,,,
CUN,YYJ,No,Active,,,,
CUN,YYZ,No,Active,,,,
CUR,YYZ,No,Active,,,,
CZM,YYZ,No,Active,,,,
DEN,YYC,No,Active,,,,
DTW,YVR,No,Active,,,,
DTW,YYC,No,Active,,,,
DUB,YHZ,No,Active,,,,
DUB,YYC,No,Active,,,,
DUB,YYZ,No,Active,,,,
EDI,YHZ,No,Active,,,,
EDI,YYC,No,Active,,,,
EDI,YYZ,No,Active,,,,
FCO,YYC,No,Active,,,,
FLL,YYC,No,Active,,,,
FLL,YYZ,No,Active,,,,
GCM,YYZ,No,Active,,,,
HNL,YEG,No,Active,,,,
HNL,YVR,No,Active,,,,
HNL,YYC,No,Active,,,,
HUX,YEG,No,Active,,,,
HUX,YVR,No,Active,,,,
HUX,YWG,No,Active,,,,
HUX,YYC,No,Active,,,,
HUX,YYZ,No,Active,,,,
IAD,YYC,No,Active,,,,
IAH,YYC,No,Active,,,,
ICN,YYC,No,Active,,,,
JFK,YYC,No,Active,,,,
KEF,YYC,No,Active,,,,
KIN,YYZ,No,Active,,,,
KOA,YVR,No,Active,,,,
KOA,YYC,No,Active,,,,
LAS,YEG,No,Active,,,,
LAS,YLW,No,Active,,,,
LAS,YQR,No,Active,,,,
LAS,YVR,No,Active,,,,
LAS,YWG,No,Active,,,,
LAS,YXE,No,Active,,,,
LAS,YYC,No,Active,,,,
LAS,YYJ,No,Active,,,,
LAS,YYZ,No,Active,,,,
LAX,YEG,No,Active,,,,
LAX,YVR,No,Active,,,,
LAX,YWG,No,Active,,,,
LAX,YYC,No,Active,,,,
LAX,YYZ,No,Active,,,,
LGW,YHZ,No,Active,,,,
LGW,YYT,No,Active,,,,
LHR,YYC,No,Active,,,,
LIH,YVR,No,Active,,,,
LIR,YYC,No,Active,,,,
LIR,YYZ,No,Active,,,,
LTO,YYC,No,Active,,,,
MBJ,YEG,No,Active,,,,
MBJ,YOW,No,Active,,,,
MBJ,YWG,No,Active,,,,
MBJ,YYC,No,Active,,,,
MBJ,YYZ,No,Active,,,,
MCO,YEG,No,Active,,,,
MCO,YHM,No,Active,,,,
MCO,YHZ,No,Active,,,,
MCO,YOW,No,Active,,,,
MCO,YQR,No,Active,,,,
MCO,YVR,No,Active,,,,
MCO,YWG,No,Active,,,,
MCO,YXE,No,Active,,,,
MCO,YYC,No,Active,,,,
MCO,YYT,No,Active,,,,
MCO,YYZ,No,Active,,,,
MID,YYZ,No,Active,,,,
MSP,YEG,No,Active,,,,
MSP,YQR,No,Active,,,,
MSP,YXE,No,Active,,,,
MZT,YEG,No,Active,,,,
MZT,YVR,No,Active,,,,
MZT,YYC,No,Active,,,,
NAS,YYC,No,Active,,,,
NAS,YYZ,No,Active,,,,
NRT,YYC,No,Active,,,,
OGG,YEG,No,Active,,,,
OGG,YVR,No,Active,,,,
OGG,YYC,No,Active,,,,
ORD,YYC,No,Active,,,,
PDX,YYC,No,Active,,,,
PHX,YEG,No,Active,,,,
PHX,YLW,No,Active,,,,
PHX,YQR,No,Active,,,,
PHX,YVR,No,Active,,,,
PHX,YWG,No,Active,,,,
PHX,YXE,No,Active,,,,
PHX,YYC,No,Active,,,,
PLS,YYZ,No,Active,,,,
POP,YYZ,No,Active,,,,
PSP,YEG,No,Active,,,,
PSP,YVR,No,Active,,,,
PSP,YWG,No,Active,,,,
PSP,YYC,No,Active,,,,
PUJ,YHM,No,Active,,,,
PUJ,YYC,No,Active,,,,
PUJ,YYZ,No,Active,,,,
PVR,YEG,No,Active,,,,
PVR,YLW,No,Active,,,,
PVR,YQQ,No,Active,,,,
PVR,YQR,No,Active,,,,
PVR,YVR,No,Active,,,,
PVR,YWG,No,Active,,,,
PVR,YXE,No,Active,,,,
PVR,YXS,No,Active,,,,
PVR,YXX,No,Active,,,,
PVR,YYC,No,Active,,,,
PVR,YYJ,No,Active,,,,
PVR,YYZ,No,Active,,,,
RSW,YOW,No,Active,,,,
RSW,YYZ,No,Active,,,,
RTB,YYZ,No,Active,,,,
SAN,YVR,No,Active,,,,
SAN,YYC,No,Active,,,,
SEA,YEG,No,Active,,,,
SEA,YYC,No,Active,,,,
SFO,YEG,No,Active,,,,
SFO,YVR,No,Active,,,,
SFO,YYC,No,Active,,,,
SJD,YEG,No,Active,,,,
SJD,YLW,No,Active,,,,
SJD,YVR,No,Active,,,,
SJD,YXX,No,Active,,,,
SJD,YYC,No,Active,,,,
SJD,YYJ,No,Active,,,,
SJU,YYZ,No,Active,,,,
SNA,YVR,No,Active,,,,
SNA,YYC,No,Active,,,,
SXM,YYZ,No,Active,,,,
TPA,YHM,No,Active,,,,
TPA,YYC,No,Active,,,,
TPA,YYT,No,Active,,,,
TPA,YYZ,No,Active,,,,
UVF,YYZ,No,Active,,,,
VRA,YYC,No,Active,,,,
VRA,YYZ,No,Active,,,,
YBL,YVR,No,Active,,,,
YBR,YYC,No,Active,,,,
YCD,YEG,No,Active,,,,
YCD,YVR,No,Active,,,,
YCD,YYC,No,Active,,,,
YDF,YYC,No,Active,,,,
YDF,YYZ,No,Active,,,,
YEG,ATL,No,Active,,,,
YEG,BNA,No,Active,,,,
YEG,CUN,No,Active,,,,
YEG,HNL,No,Active,,,,
YEG,HUX,No,Active,,,,
YEG,LAS,No,Active,,,,
YEG,LAX,No,Active,,,,
YEG,MBJ,No,Active,,,,
YEG,MCO,No,Active,,,,
YEG,MSP,No,Active,,,,
YEG,MZT,No,Active,,,,
YEG,OGG,No,Active,,,,
YEG,PHX,No,Active,,,,
YEG,PSP,No,Active,,,,
YEG,PVR,No,Active,,,,
YEG,SEA,No,Active,,,,
YEG,SFO,No,Active,,,,
YEG,SJD,No,Active,,,,
YEG,YCD,No,Active,,,,
YEG,YHZ,No,Active,,,,
YEG,YLW,No,Active,,,,
YEG,YMM,No,Active,,,,
YEG,YOW,No,Active,,,,
YEG,YQM,No,Active,,,,
YEG,YQQ,No,Active,,,,
YEG,YQR,No,Active,,,,
YEG,YQU,No,Active,,,,
YEG,YUL,No,Active,,,,
YEG,YVR,No,Active,,,,
YEG,YWG,No,Active,,,,
YEG,YXE,No,Active,,,,
YEG,YXX,No,Active,,,,
YEG,YYC,No,Active,,,,
YEG,YYG,No,Active,,,,
YEG,YYJ,No,Active,,,,
YEG,YYT,No,Active,,,,
YEG,YYZ,No,Active,,,,
YEG,YZF,No,Active,,,,
YHM,CUN,No,Active,,,,
YHM,MCO,No,Active,,,,
YHM,PUJ,No,Active,,,,
YHM,TPA,No,Active,,,,
YHM,YYC,No,Active,,,,
YHZ,CUN,No,Active,,,,
YHZ,DUB,No,Active,,,,
YHZ,EDI,No,Active,,,,
YHZ,LGW,No,Active,,,,
YHZ,MCO,No,Active,,,,
YHZ,YEG,No,Active,,,,
YHZ,YVR,No,Active,,,,
YHZ,YWG,No,Active,,,,
YHZ,YYC,No,Active,,,,
YHZ,YYZ,No,Active,,,,
YKA,YVR,No,Active,,,,
YKA,YYC,No,Active,,,,
YKF,YYC,No,Active,,,,
YLL,YYC,No,Active,,,,
YLW,CUN,No,Active,,,,
YLW,LAS,No,Active,,,,
YLW,PHX,No,Active,,,,
YLW,PVR,No,Active,,,,
YLW,SJD,No,Active,,,,
YLW,YEG,No,Active,,,,
YLW,YQR,No,Active,,,,
YLW,YVR,No,Active,,,,
YLW,YWG,No,Active,,,,
YLW,YXE,No,Active,,,,
YLW,YYC,No,Active,,,,
YLW,YYJ,No,Active,,,,
YLW,YYZ,No,Active,,,,
YMM,YEG,No,Active,,,,
YMM,YYC,No,Active,,,,
YOW,CUN,No,Active,,,,
YOW,MBJ,No,Active,,,,
YOW,MCO,No,Active,,,,
YOW,RSW,No,Active,,,,
YOW,YEG,No,Active,,,,
YOW,YVR,No,Active,,,,
YOW,YWG,No,Active,,,,
YOW,YYC,No,Active,,,,
YOW,YYZ,No,Active,,,,
YQB,YYC,No,Active,,,,
YQG,YYC,No,Active,,,,
YQL,YYC,No,Active,,,,
YQM,YEG,No,Active,,,,
YQM,YYC,No,Active,,,,
YQM,YYZ,No,Active,,,,
YQQ,PVR,No,Active,,,,
YQQ,YEG,No,Active,,,,
YQQ,YVR,No,Active,,,,
YQQ,YYC,No,Active,,,,
YQQ,YYZ,No,Active,,,,
YQR,CUN,No,Active,,,,
YQR,LAS,No,Active,,,,
YQR,MCO,No,Active,,,,
YQR,MSP,No,Active,,,,
YQR,PHX,No,Active,,,,
YQR,PVR,No,Active,,,,
YQR,YEG,No,Active,,,,
YQR,YLW,No,Active,,,,
YQR,YVR,No,Active,,,,
YQR,YWG,No,Active,,,,
YQR,YYC,No,Active,,,,
YQR,YYZ,No,Active,,,,
YQT,YWG,No,Active,,,,
YQT,YYC,No,Active,,,,
YQU,YEG,No,Active,,,,
YQU,YYC,No,Active,,,,
YUL,YEG,No,Active,,,,
YUL,YVR,No,Active,,,,
YUL,YYC,No,Active,,,,
YVR,ATL,No,Active,,,,
YVR,BNA,No,Active,,,,
YVR,CUN,No,Active,,,,
YVR,DTW,No,Active,,,,
YVR,HNL,No,Active,,,,
YVR,HUX,No,Active,,,,
YVR,KOA,No,Active,,,,
YVR,LAS,No,Active,,,,
YVR,LAX,No,Active,,,,
YVR,LIH,No,Active,,,,
YVR,MCO,No,Active,,,,
YVR,MZT,No,Active,,,,
YVR,OGG,No,Active,,,,
YVR,PHX,No,Active,,,,
YVR,PSP,No,Active,,,,
YVR,PVR,No,Active,,,,
YVR,SAN,No,Active,,,,
YVR,SFO,No,Active,,,,
YVR,SJD,No,Active,,,,
YVR,SNA,No,Active,,,,
YVR,YBL,No,Active,,,,
YVR,YCD,No,Active,,,,
YVR,YEG,No,Active,,,,
YVR,YHZ,No,Active,,,,
YVR,YKA,No,Active,,,,
YVR,YLW,No,Active,,,,
YVR,YOW,No,Active,,,,
YVR,YQQ,No,Active,,,,
YVR,YQR,No,Active,,,,
YVR,YUL,No,Active,,,,
YVR,YWG,No,Active,,,,
YVR,YXC,No,Active,,,,
YVR,YXE,No,Active,,,,
YVR,YXJ,No,Active,,,,
YVR,YXS,No,Active,,,,
YVR,YXT,No,Active,,,,
YVR,YYC,No,Active,,,,
YVR,YYF,No,Active,,,,
YVR,YYJ,No,Active,,,,
YVR,YYZ,No,Active,,,,
